issue_count,TRANS.zipcode,TRANS.STATE
148,33319,FL
147,08046,NJ
147,20720,MD
147,43230,OH
147,93536,CA
146,78660,TX
145,10312,NY
145,20176,VA
145,30047,GA
145,30062,GA
145,30127,GA
145,32082,FL
145,32835,FL
145,75115,TX
145,91344,CA
145,93551,CA
144,19143,PA
144,30022,GA
144,30093,GA
144,90250,CA
144,92345,CA
144,94583,CA
143,20785,MD
143,30228,GA
143,76137,TX
143,91367,CA
143,95823,CA
142,19082,PA
141,11203,NY
141,20019,DC
141,30213,GA
141,30318,GA
141,32907,FL
141,92503,CA
140,20850,MD
140,30144,GA
140,33068,FL
140,94501,CA
139,07111,NJ
139,10466,NY
139,11214,NY
139,22204,VA
139,32218,FL
139,60617,IL
139,76123,TX
138,07753,NJ
138,08081,NJ
138,10128,NY
138,32818,FL
138,33076,FL
138,77584,TX
138,78664,TX
138,80015,CO
137,07728,NJ
137,10467,NY
137,11746,NY
137,23228,VA
137,38125,TN
137,77070,TX
136,08054,NJ
136,11209,NY
136,20171,VA
136,20852,MD
136,21208,MD
136,22601,VA
136,95630,CA
135,08527,NJ
135,11580,NY
135,30324,GA
135,33160,FL
135,33308,FL
135,75062,TX
135,94541,CA
134,28227,NC
134,30040,GA
134,32246,FL
134,33015,FL
134,60643,IL
134,90049,CA
134,92392,CA
133,02151,MA
133,07052,NJ
133,20853,MD
133,30319,GA
133,79424,TX
133,80013,CO
133,98374,WA
132,28215,NC
132,30075,GA
132,75025,TX
132,75067,TX
132,75287,TX
132,76049,TX
132,77450,TX
132,94587,CA
131,11218,NY
131,30004,GA
131,30188,GA
131,30326,GA
131,32771,FL
131,32837,FL
131,48076,MI
131,77459,TX
131,91304,CA
131,91739,CA
131,92024,CA
131,92114,CA
131,94538,CA
130,11216,NY
130,21207,MD
130,23454,VA
130,30067,GA
130,30519,GA
130,32225,FL
130,32765,FL
130,33062,FL
130,33146,FL
130,33165,FL
130,33467,FL
130,60620,IL
130,75051,TX
130,77489,TX
130,90043,CA
130,93063,CA
129,10306,NY
129,11412,NY
129,20854,MD
129,20904,MD
129,21206,MD
129,30094,GA
129,60611,IL
129,76107,TX
129,89117,NV
129,90018,CA
129,90807,CA
129,91604,CA
128,07083,NJ
128,10002,NY
128,10027,NY
128,10463,NY
128,21215,MD
128,30045,GA
128,60175,IL
128,89074,NV
128,91342,CA
127,11372,NY
127,20008,DC
127,21122,MD
127,22201,VA
127,23462,VA
127,94577,CA
126,32210,FL
126,32792,FL
126,94558,CA
125,33067,FL
125,33334,FL
125,43123,OH
125,60618,IL
125,78613,TX
125,90008,CA
125,90034,CA
125,90036,CA
124,11520,NY
124,22407,VA
124,30350,GA
124,32779,FL
124,76063,TX
124,90045,CA
123,11550,NY
123,11566,NY
123,20603,MD
123,21239,MD
123,30019,GA
123,30344,GA
123,60202,IL
123,76179,TX
123,85254,AZ
123,90292,CA
122,08094,NJ
122,10469,NY
122,33064,FL
122,43068,OH
122,44035,OH
122,85255,AZ
122,85308,AZ
122,91364,CA
122,94080,CA
122,94531,CA
121,07003,NJ
121,08816,NJ
121,10009,NY
121,11365,NY
121,32708,FL
121,33313,FL
121,77082,TX
121,91423,CA
121,92683,CA
120,10019,NY
120,19709,DE
120,30311,GA
120,33322,FL
120,33463,FL
120,66062,KS
120,80220,CO
120,91360,CA
120,91406,CA
120,92130,CA
120,95762,CA
119,07002,NJ
119,11106,NY
119,11413,NY
119,23234,VA
119,30101,GA
119,30152,GA
119,32825,FL
119,33020,FL
119,33021,FL
119,33179,FL
119,34787,FL
119,75007,TX
119,75023,TX
119,78245,TX
119,91325,CA
119,91326,CA
119,94109,CA
119,94591,CA
119,94804,CA
118,23112,VA
118,30046,GA
118,33306,FL
118,33401,FL
118,75093,TX
118,77077,TX
118,85251,AZ
118,90044,CA
118,90278,CA
118,92630,CA
118,98122,WA
117,07018,NJ
117,75232,TX
117,76001,TX
117,85260,AZ
117,91403,CA
117,92505,CA
117,93535,CA
116,11727,NY
116,19120,PA
116,20111,VA
116,22314,VA
116,22315,VA
116,32824,FL
116,33016,FL
116,77373,TX
116,85258,AZ
116,90005,CA
115,07731,NJ
115,11215,NY
115,11758,NY
115,29229,SC
115,30088,GA
115,30114,GA
115,30214,GA
115,32725,FL
115,33009,FL
115,34983,FL
115,75206,TX
115,77433,TX
115,92021,CA
115,92056,CA
115,92128,CA
115,95747,CA
114,07079,NJ
114,07601,NJ
114,10001,NY
114,21044,MD
114,23059,VA
114,23666,VA
114,30236,GA
114,32164,FL
114,33141,FL
114,33162,FL
114,33193,FL
114,33484,FL
114,33614,FL
114,76108,TX
114,90254,CA
114,90731,CA
113,10950,NY
113,11225,NY
113,11435,NY
113,20602,MD
113,23223,VA
113,30157,GA
113,33139,FL
113,33437,FL
113,76134,TX
113,91320,CA
113,91505,CA
113,92647,CA
112,06320,CT
112,07302,NJ
112,08854,NJ
112,10029,NY
112,20716,MD
112,33458,FL
112,37211,TN
112,76133,TX
112,91764,CA
112,92126,CA
112,94806,CA
112,97701,OR
112,98270,WA
111,07470,NJ
111,07726,NJ
111,11210,NY
111,11373,NY
111,11691,NY
111,20746,MD
111,21133,MD
111,23464,VA
111,32244,FL
111,33309,FL
111,33317,FL
111,60443,IL
111,91401,CA
110,33175,FL
110,33418,FL
110,48103,MI
110,48219,MI
110,60649,IL
110,76036,TX
110,89113,NV
110,89131,NV
110,89147,NV
110,91306,CA
110,91977,CA
110,92026,CA
110,92691,CA
110,95757,CA
109,11368,NY
109,11510,NY
109,11743,NY
109,20770,MD
109,21218,MD
109,21228,MD
109,21234,MD
109,22182,VA
109,22408,VA
109,30309,GA
109,33326,FL
109,77083,TX
109,89128,NV
109,95648,CA
108,08012,NJ
108,08021,NJ
108,10036,NY
108,11204,NY
108,11208,NY
108,28212,NC
108,32174,FL
108,48197,MI
108,76039,TX
108,85022,AZ
108,91766,CA
108,97223,OR
107,07304,NJ
107,11223,NY
107,11385,NY
107,21229,MD
107,22554,VA
107,23225,VA
107,28226,NC
107,30097,GA
107,32801,FL
107,34711,FL
107,37075,TN
107,43615,OH
107,60626,IL
107,75035,TX
107,85225,AZ
107,92103,CA
106,11213,NY
106,30316,GA
106,33914,FL
106,77429,TX
106,78240,TX
106,89108,NV
106,91910,CA
106,92627,CA
106,92692,CA
106,95037,CA
105,30296,GA
105,32780,FL
105,44107,OH
105,44146,OH
105,75043,TX
105,85282,AZ
105,90016,CA
105,90746,CA
105,94608,CA
105,95123,CA
104,07666,NJ
104,27610,NC
104,27615,NC
104,33511,FL
104,33908,FL
104,63033,MO
104,76132,TX
104,78258,TX
104,79423,TX
104,90066,CA
104,92129,CA
104,97007,OR
103,08724,NJ
103,08857,NJ
103,19136,PA
103,20902,MD
103,34952,FL
103,46307,IN
103,91316,CA
103,91356,CA
103,91362,CA
103,95624,CA
103,95670,CA
102,07305,NJ
102,11238,NY
102,15221,PA
102,21113,MD
102,21220,MD
102,23831,VA
102,23832,VA
102,30064,GA
102,32746,FL
102,34741,FL
102,75002,TX
102,78225,TX
102,80016,CO
102,89031,NV
102,91710,CA
102,91761,CA
102,92071,CA
102,92078,CA
102,92154,CA
102,92591,CA
102,94112,CA
101,07024,NJ
101,08080,NJ
101,10305,NY
101,10452,NY
101,11003,NY
101,20010,DC
101,22015,VA
101,29673,SC
101,29730,SC
101,30032,GA
101,33055,FL
101,33428,FL
101,33441,FL
101,34655,FL
101,75056,TX
101,91750,CA
101,92117,CA
100,03038,NH
100,11788,NY
100,19805,DE
100,20707,MD
100,27587,NC
100,30082,GA
100,32819,FL
100,60478,IL
100,60614,IL
100,60616,IL
100,75068,TX
100,90706,CA
100,92307,CA
100,92399,CA
100,92618,CA
100,92653,CA
100,94534,CA
99,02169,MA
99,06606,CT
99,11206,NY
99,20148,VA
99,22079,VA
99,23111,VA
99,23220,VA
99,30068,GA
99,33073,FL
99,33161,FL
99,34761,FL
99,43026,OH
99,60613,IL
99,77346,TX
99,89103,NV
99,89121,NV
99,89129,NV
99,90064,CA
99,92009,CA
99,92614,CA
99,94536,CA
99,95828,CA
98,06516,CT
98,10952,NY
98,33578,FL
98,44128,OH
98,77379,TX
98,91786,CA
98,91913,CA
98,92507,CA
98,92620,CA
98,94544,CA
98,94578,CA
97,02864,RI
97,07461,NJ
97,11418,NY
97,33178,FL
97,33415,FL
97,34744,FL
97,34746,FL
97,48239,MI
97,60409,IL
97,76006,TX
97,85029,AZ
97,85142,AZ
97,91765,CA
97,92545,CA
97,95355,CA
97,95608,CA
96,02301,MA
96,08016,NJ
96,11354,NY
96,11357,NY
96,11772,NY
96,20003,DC
96,27616,NC
96,29445,SC
96,29464,SC
96,31419,GA
96,33196,FL
96,33351,FL
96,38016,TN
96,85016,AZ
96,85224,AZ
96,90220,CA
96,90650,CA
96,91343,CA
96,92037,CA
96,92530,CA
96,92688,CA
96,92705,CA
96,93003,CA
96,93550,CA
96,94110,CA
96,94568,CA
96,95125,CA
96,95835,CA
96,97229,OR
96,98012,WA
95,06902,CT
95,10022,NY
95,21045,MD
95,23320,VA
95,23452,VA
95,30041,GA
95,43228,OH
95,60411,IL
95,60622,IL
95,76002,TX
95,77375,TX
95,85295,AZ
95,90004,CA
95,90230,CA
95,90805,CA
95,92054,CA
95,92223,CA
95,92376,CA
95,92649,CA
95,92780,CA
95,95678,CA
94,10038,NY
94,10456,NY
94,11422,NY
94,11757,NY
94,19104,PA
94,20794,MD
94,20815,MD
94,27703,NC
94,30342,GA
94,33026,FL
94,63376,MO
94,76021,TX
94,76126,TX
94,77095,TX
94,79912,TX
94,85140,AZ
94,90280,CA
94,91701,CA
94,92886,CA
94,94521,CA
94,94582,CA
94,94610,CA
94,94611,CA
94,95610,CA
93,02921,RI
93,07307,NJ
93,11205,NY
93,19144,PA
93,19711,DE
93,19808,DE
93,20016,DC
93,29223,SC
93,32703,FL
93,32839,FL
93,33436,FL
93,33615,FL
93,35244,AL
93,44256,OH
93,79404,TX
93,80012,CO
93,85048,AZ
93,87111,NM
93,89135,NV
93,91311,CA
93,91911,CA
93,92104,CA
93,92506,CA
93,92883,CA
93,94509,CA
92,01801,MA
92,02360,MA
92,08831,NJ
92,18940,PA
92,19020,PA
92,23231,VA
92,30084,GA
92,32216,FL
92,33133,FL
92,33142,FL
92,48221,MI
92,48439,MI
92,76131,TX
92,85379,AZ
92,89119,NV
92,91302,CA
92,92019,CA
92,92127,CA
92,92555,CA
92,92879,CA
92,94115,CA
92,94526,CA
92,95035,CA
92,95833,CA
91,06082,CT
91,23060,VA
91,28262,NC
91,30328,GA
91,32137,FL
91,33462,FL
91,34758,FL
91,89110,NV
91,90024,CA
91,90275,CA
90,07017,NJ
90,08540,NJ
90,08817,NJ
90,11212,NY
90,27410,NC
90,30339,GA
90,33445,FL
90,34668,FL
90,35226,AL
90,90048,CA
90,92115,CA
90,94066,CA
90,95687,CA
90,98052,WA
89,07030,NJ
89,12550,NY
89,17603,PA
89,19131,PA
89,19140,PA
89,20017,DC
89,21136,MD
89,28173,NC
89,30274,GA
89,32738,FL
89,34120,FL
89,34677,FL
89,38017,TN
89,60612,IL
89,60647,IL
89,77057,TX
89,78130,TX
89,78250,TX
89,85044,AZ
89,89149,NV
89,90802,CA
89,92109,CA
89,92557,CA
89,92646,CA
89,95822,CA
88,07036,NJ
88,07105,NJ
88,08050,NJ
88,23456,VA
88,28273,NC
88,29483,SC
88,30134,GA
88,33056,FL
88,33138,FL
88,44121,OH
88,46032,IN
88,60193,IL
88,60440,IL
88,60651,IL
88,77573,TX
88,78745,TX
88,79416,TX
88,80210,CO
88,85234,AZ
88,90017,CA
88,90503,CA
88,90703,CA
88,92108,CA
88,93021,CA
88,95628,CA
87,02148,MA
87,07093,NJ
87,08043,NJ
87,11211,NY
87,19149,PA
87,20886,MD
87,23236,VA
87,27265,NC
87,27529,NC
87,32068,FL
87,33028,FL
87,33426,FL
87,46410,IN
87,53072,WI
87,80538,CO
87,90210,CA
87,91607,CA
87,91941,CA
87,92008,CA
87,92346,CA
87,92407,CA
87,92807,CA
87,94606,CA
87,98102,WA
86,07106,NJ
86,10301,NY
86,11217,NY
86,20782,MD
86,23222,VA
86,30008,GA
86,30215,GA
86,32712,FL
86,32822,FL
86,48187,MI
86,63136,MO
86,77469,TX
86,77479,TX
86,90035,CA
86,91205,CA
86,94901,CA
86,97006,OR
85,06010,CT
85,08096,NJ
85,08234,NJ
85,10021,NY
85,11101,NY
85,11432,NY
85,11433,NY
85,19446,PA
85,20155,VA
85,20175,VA
85,21043,MD
85,21144,MD
85,22031,VA
85,22405,VA
85,27612,NC
85,34608,FL
85,44118,OH
85,60586,IL
85,76549,TX
85,91350,CA
85,92373,CA
85,92571,CA
85,92708,CA
85,92801,CA
85,92804,CA
85,94547,CA
85,94553,CA
85,94619,CA
85,95070,CA
85,95376,CA
85,95377,CA
85,95838,CA
84,07065,NJ
84,07740,NJ
84,10473,NY
84,11590,NY
84,19146,PA
84,19971,DE
84,20032,DC
84,21061,MD
84,21209,MD
84,23322,VA
84,27513,NC
84,29607,SC
84,32092,FL
84,32714,FL
84,32808,FL
84,34759,FL
84,43232,OH
84,44122,OH
84,75075,TX
84,77494,TX
84,78244,TX
84,78704,TX
84,90277,CA
84,90815,CA
84,91387,CA
84,92648,CA
84,92882,CA
84,93436,CA
84,95821,CA
84,98391,WA
83,02155,MA
83,08618,NJ
83,08648,NJ
83,08723,NJ
83,10956,NY
83,11561,NY
83,20120,VA
83,21244,MD
83,21403,MD
83,21740,MD
83,30189,GA
83,33012,FL
83,33131,FL
83,33434,FL
83,34653,FL
83,34986,FL
83,34997,FL
83,43213,OH
83,53209,WI
83,55124,MN
83,75126,TX
83,75150,TX
83,75217,TX
83,75243,TX
83,77073,TX
83,80017,CO
83,85008,AZ
83,87507,NM
83,89012,NV
83,90247,CA
83,90291,CA
83,90803,CA
83,91791,CA
83,92131,CA
83,92504,CA
83,92584,CA
83,93534,CA
83,93722,CA
83,94122,CA
83,95112,CA
83,95691,CA
83,98409,WA
82,10003,NY
82,10026,NY
82,10304,NY
82,10901,NY
82,11420,NY
82,14221,NY
82,19145,PA
82,20901,MD
82,21401,MD
82,27406,NC
82,28214,NC
82,32832,FL
82,32904,FL
82,33069,FL
82,43207,OH
82,63031,MO
82,75024,TX
82,85338,AZ
82,85383,AZ
82,90027,CA
82,90028,CA
82,91355,CA
82,92027,CA
82,92629,CA
82,95127,CA
81,07109,NJ
81,08330,NJ
81,08757,NJ
81,11369,NY
81,20018,DC
81,20784,MD
81,22003,VA
81,22310,VA
81,24503,VA
81,30338,GA
81,32940,FL
81,33596,FL
81,34232,FL
81,60073,IL
81,80126,CO
81,85027,AZ
81,90301,CA
81,90631,CA
81,92122,CA
81,92123,CA
81,94518,CA
81,94551,CA
81,94590,CA
81,97045,OR
81,97219,OR
81,98258,WA
80,07042,NJ
80,07631,NJ
80,11040,NY
80,19111,PA
80,19904,DE
80,20036,DC
80,20037,DC
80,20607,MD
80,20715,MD
80,22202,VA
80,28025,NC
80,28031,NC
80,28801,NC
80,30252,GA
80,33014,FL
80,33404,FL
80,33904,FL
80,34684,FL
80,34747,FL
80,35080,AL
80,75080,TX
80,77406,TX
80,84020,UT
80,85281,AZ
80,85283,AZ
80,87114,NM
80,89130,NV
80,90241,CA
80,90249,CA
80,90723,CA
80,91042,CA
80,91331,CA
80,91352,CA
80,91745,CA
80,92028,CA
80,92508,CA
80,94103,CA
80,95136,CA
80,95831,CA
80,95843,CA
79,07050,NJ
79,07724,NJ
79,10013,NY
79,11374,NY
79,11704,NY
79,11735,NY
79,19713,DE
79,20005,DC
79,20705,MD
79,21224,MD
79,22033,VA
79,22101,VA
79,28205,NC
79,28314,NC
79,29203,SC
79,29485,SC
79,33033,FL
79,33442,FL
79,33610,FL
79,37027,TN
79,45424,OH
79,53218,WI
79,60543,IL
79,73099,OK
79,78641,TX
79,79902,TX
79,80014,CO
79,80123,CO
79,83705,ID
79,85296,AZ
79,91744,CA
79,93012,CA
79,94560,CA
79,94601,CA
79,94803,CA
79,95008,CA
79,95350,CA
79,98387,WA
78,10014,NY
78,10032,NY
78,10034,NY
78,10475,NY
78,19067,PA
78,19148,PA
78,20007,DC
78,20817,MD
78,27520,NC
78,30907,GA
78,32208,FL
78,32224,FL
78,34786,FL
78,37122,TN
78,60031,IL
78,60419,IL
78,60610,IL
78,60652,IL
78,75063,TX
78,76051,TX
78,77407,TX
78,78247,TX
78,85345,AZ
78,90042,CA
78,91942,CA
78,92057,CA
78,92253,CA
78,92308,CA
78,92595,CA
78,94015,CA
78,94114,CA
78,95336,CA
78,97504,OR
77,02136,MA
77,07040,NJ
77,07055,NJ
77,27713,NC
77,28278,NC
77,29681,SC
77,29708,SC
77,30076,GA
77,30238,GA
77,30518,GA
77,30906,GA
77,33145,FL
77,33147,FL
77,33432,FL
77,33624,FL
77,44120,OH
77,48021,MI
77,55303,MN
77,77089,TX
77,77388,TX
77,78230,TX
77,80020,CO
77,85718,AZ
77,90026,CA
77,91104,CA
77,92260,CA
77,92262,CA
77,92590,CA
77,92821,CA
77,94403,CA
77,97206,OR
76,10017,NY
76,10028,NY
76,11710,NY
76,11779,NY
76,19382,PA
76,20876,MD
76,33018,FL
76,33183,FL
76,33407,FL
76,34293,FL
76,34689,FL
76,37421,TN
76,43229,OH
76,48180,MI
76,60637,IL
76,60660,IL
76,63366,MO
76,76087,TX
76,77338,TX
76,77545,TX
76,91915,CA
76,92020,CA
76,92870,CA
76,94030,CA
76,94546,CA
76,95014,CA
76,95945,CA
76,96706,HI
75,02130,MA
75,06457,CT
75,06511,CT
75,07205,NJ
75,08520,NJ
75,10954,NY
75,18704,PA
75,27560,NC
75,28117,NC
75,29577,SC
75,30033,GA
75,30115,GA
75,30312,GA
75,32803,FL
75,32811,FL
75,33156,FL
75,33327,FL
75,34743,FL
75,60016,IL
75,60068,IL
75,60148,IL
75,60402,IL
75,60429,IL
75,75077,TX
75,90266,CA
75,91605,CA
75,94404,CA
75,95111,CA
75,95765,CA
75,98033,WA
75,98512,WA
74,01876,MA
74,07430,NJ
74,08759,NJ
74,12603,NY
74,15235,PA
74,19121,PA
74,19124,PA
74,20745,MD
74,21075,MD
74,28210,NC
74,28213,NC
74,28803,NC
74,29588,SC
74,30012,GA
74,30092,GA
74,33180,FL
74,33304,FL
74,33410,FL
74,33990,FL
74,44060,OH
74,60438,IL
74,63017,MO
74,63021,MO
74,70769,LA
74,80005,CO
74,80233,CO
74,80237,CO
74,85339,AZ
74,91301,CA
74,91405,CA
74,91606,CA
74,92694,CA
74,95207,CA
74,95677,CA
74,97211,OR
73,08087,NJ
73,08859,NJ
73,10940,NY
73,18104,PA
73,22207,VA
73,23235,VA
73,27604,NC
73,29732,SC
73,30060,GA
73,30122,GA
73,30308,GA
73,33140,FL
73,34667,FL
73,39212,MS
73,48141,MI
73,60634,IL
73,76009,TX
73,76119,TX
73,77042,TX
73,77064,TX
73,77096,TX
73,78232,TX
73,78729,TX
73,85050,AZ
73,85382,AZ
73,89104,NV
73,89141,NV
73,90003,CA
73,90068,CA
73,90305,CA
73,91601,CA
73,91762,CA
73,91789,CA
73,92065,CA
73,93030,CA
73,94044,CA
73,94523,CA
73,94602,CA
73,95020,CA
73,95051,CA
73,98058,WA
72,02368,MA
72,02446,MA
72,10453,NY
72,10465,NY
72,11355,NY
72,11530,NY
72,11787,NY
72,17404,PA
72,19128,PA
72,20012,DC
72,21042,MD
72,21701,MD
72,21921,MD
72,22203,VA
72,23233,VA
72,30168,GA
72,30180,GA
72,30273,GA
72,31313,GA
72,33435,FL
72,33470,FL
72,34609,FL
72,38654,MS
72,46360,IN
72,60563,IL
72,60605,IL
72,75019,TX
72,75248,TX
72,76106,TX
72,76135,TX
72,77386,TX
72,77546,TX
72,78758,TX
72,89015,NV
72,90255,CA
72,90403,CA
72,90405,CA
72,91307,CA
72,92404,CA
72,92553,CA
72,92612,CA
72,95660,CA
72,98004,WA
71,07306,NJ
71,08060,NJ
71,08534,NJ
71,11104,NY
71,11231,NY
71,11429,NY
71,11756,NY
71,11803,NY
71,15108,PA
71,20708,MD
71,21230,MD
71,29414,SC
71,30341,GA
71,31907,GA
71,32809,FL
71,32810,FL
71,33181,FL
71,43062,OH
71,44130,OH
71,60014,IL
71,76018,TX
71,76112,TX
71,78254,TX
71,85086,AZ
71,85226,AZ
71,87112,NM
71,89014,NV
71,90011,CA
71,91711,CA
71,92011,CA
71,92025,CA
71,92110,CA
71,92324,CA
71,92335,CA
71,94087,CA
71,94566,CA
71,95403,CA
70,01970,MA
70,06118,CT
70,10309,NY
70,10701,NY
70,11105,NY
70,11706,NY
70,18103,PA
70,19335,PA
70,23669,VA
70,30005,GA
70,32223,FL
70,32259,FL
70,32303,FL
70,33032,FL
70,33060,FL
70,33325,FL
70,33472,FL
70,33579,FL
70,36605,AL
70,43016,OH
70,43110,OH
70,44134,OH
70,45011,OH
70,45215,OH
70,46227,IN
70,48044,MI
70,60707,IL
70,70001,LA
70,77498,TX
70,78109,TX
70,78748,TX
70,78759,TX
70,80022,CO
70,85023,AZ
70,85233,AZ
70,90745,CA
70,91016,CA
70,91767,CA
70,92673,CA
70,92869,CA
70,94117,CA
70,94124,CA
70,95003,CA
70,95148,CA
70,98223,WA
69,02124,MA
69,07060,NJ
69,07080,NJ
69,11102,NY
69,11358,NY
69,11419,NY
69,11791,NY
69,15146,PA
69,20109,VA
69,20912,MD
69,21216,MD
69,21236,MD
69,22042,VA
69,22306,VA
69,27519,NC
69,28105,NC
69,30030,GA
69,30102,GA
69,30106,GA
69,30263,GA
69,30305,GA
69,33486,FL
69,38116,TN
69,48066,MI
69,48224,MI
69,55104,MN
69,60473,IL
69,60607,IL
69,60625,IL
69,75044,TX
69,76017,TX
69,78251,TX
69,78665,TX
69,85014,AZ
69,85326,AZ
69,85710,AZ
69,90221,CA
69,90274,CA
69,91107,CA
69,92084,CA
69,92395,CA
69,92544,CA
69,92606,CA
69,92663,CA
69,94134,CA
69,94510,CA
69,94550,CA
69,97086,OR
69,98034,WA
69,98103,WA
68,01844,MA
68,02126,MA
68,07604,NJ
68,08755,NJ
68,10801,NY
68,11421,NY
68,14094,NY
68,19050,PA
68,19977,DE
68,20024,DC
68,20190,VA
68,20723,MD
68,22312,VA
68,23224,VA
68,23451,VA
68,30310,GA
68,30345,GA
68,32514,FL
68,33305,FL
68,33408,FL
68,33594,FL
68,33810,FL
68,33952,FL
68,33993,FL
68,38018,TN
68,43215,OH
68,48188,MI
68,60103,IL
68,60608,IL
68,75013,TX
68,75071,TX
68,75098,TX
68,76542,TX
68,77539,TX
68,78154,TX
68,80021,CO
68,85020,AZ
68,85138,AZ
68,90039,CA
68,90041,CA
68,90201,CA
68,90804,CA
68,91206,CA
68,92116,CA
68,92551,CA
68,92679,CA
68,95076,CA
68,95124,CA
68,95206,CA
67,06106,CT
67,07032,NJ
67,07047,NJ
67,07735,NJ
67,10550,NY
67,11361,NY
67,14075,NY
67,18466,PA
67,19150,PA
67,23188,VA
67,30260,GA
67,30315,GA
67,32258,FL
67,32707,FL
67,32955,FL
67,33544,FL
67,37115,TN
67,37221,TN
67,44077,OH
67,48198,MI
67,60653,IL
67,62959,IL
67,75211,TX
67,76180,TX
67,77088,TX
67,80918,CO
67,85374,AZ
67,90302,CA
67,91214,CA
67,91324,CA
67,92111,CA
67,92120,CA
67,92211,CA
67,92805,CA
67,94303,CA
67,94549,CA
67,94561,CA
67,95219,CA
67,98632,WA
66,01960,MA
66,02139,MA
66,08807,NJ
66,11581,NY
66,11701,NY
66,15206,PA
66,19460,PA
66,21703,MD
66,22153,VA
66,29466,SC
66,30542,GA
66,30680,GA
66,32257,FL
66,32817,FL
66,33137,FL
66,33168,FL
66,33185,FL
66,33301,FL
66,34119,FL
66,44105,OH
66,49045,MI
66,60089,IL
66,63116,MO
66,75227,TX
66,76013,TX
66,76227,TX
66,80011,CO
66,80127,CO
66,80206,CO
66,80211,CO
66,87120,NM
66,87124,NM
66,87144,NM
66,89139,NV
66,89523,NV
66,90712,CA
66,90806,CA
66,92081,CA
66,92234,CA
66,93306,CA
66,93611,CA
66,94107,CA
66,94539,CA
66,94588,CA
66,95472,CA
66,96727,HI
66,96740,HI
66,97756,OR
66,98115,WA
66,98204,WA
65,08902,NJ
65,10457,NY
65,11436,NY
65,11722,NY
65,19380,PA
65,19403,PA
65,20152,VA
65,20877,MD
65,21060,MD
65,21212,MD
65,22102,VA
65,22309,VA
65,27526,NC
65,28304,NC
65,29210,SC
65,29615,SC
65,34639,FL
65,37042,TN
65,40216,KY
65,41042,KY
65,44124,OH
65,48075,MI
65,53216,WI
65,55125,MN
65,60453,IL
65,60636,IL
65,75149,TX
65,75204,TX
65,76016,TX
65,78681,TX
65,79936,TX
65,80226,CO
65,85711,AZ
65,87110,NM
65,89107,NV
65,89178,NV
65,90630,CA
65,92596,CA
65,94086,CA
65,94598,CA
65,94612,CA
64,03060,NH
