Company_issue_count,TRANS.Company
159,First Associates Loan Servicing LLC
159,Red Rock Tribal Lending
157,"Financial Credit Service, Inc."
155,"JH Portfolio Debt Equities, LLC"
153,World Acceptance Corporation
151,CoreLogic
151,"NCC Business Services, Inc."
150,"Mobiloans, LLC"
150,RJM Acquisitions LLC (Closed)
149,LoanDepot
149,Valley National Bank
148,Commercial Recovery Systems
148,ConServe
148,"Franklin Collection Service, Inc."
148,"North Shore Agency, LLC"
146,Commerce Bank
146,Reverse Mortgage Solutions
144,Solidus Group LLC.
144,"United Recovery Systems, LP"
143,"Amsher Collection Services, Inc."
140,LexisNexis
138,Radius Global Solutions LLC
137,Grant & Weber
136,Ad Astra Recovery Services Inc
136,"Continental Finance Company, LLC"
136,DriveTime
136,"Integrity Solution Services, Inc."
136,"United Collection Bureau, Inc."
135,"Check into Cash, Inc."
134,"MRS BPO, L.L.C."
132,Consumer Portfolio Services
132,First Citizens
132,"Mercantile Adjustment Bureau, LLC"
131,BNY Mellon
129,Amerisave
129,"ONLINE Information Services, Inc."
129,"Risecredit, LLC"
128,ARM WNY LLC
128,Global Credit & Collection Corporation
124,"Capital Management Services, LP"
124,"Progressive Financial Services, Inc."
121,E*Trade Bank
119,"Halsted Financial Services, LLC."
118,"Oxford Law, LLC"
117,Van Ru Credit Corporation
116,"ClearSpring Loan Services, Inc."
116,"Harvard Collections, LLC"
116,Zwicker & Associates
115,Credit Bureau of Napa
114,"Harris & Harris, Ltd."
114,"Medical Data Systems, Inc."
113,"Aargon Agency, Inc."
113,"Altisource Portfolio Solutions, S.Ã  r.l."
113,"WAKEFIELD & ASSOCIATES, INC."
113,Whitney Bank
112,Tower Loan
111,"SIMM Associates, Inc."
110,"Capio Partners, LLC"
110,Exeter Finance Corp
110,Revenue Recovery Corporation
108,Sunrise Credit Services Inc.
106,"Professional Debt Mediation, Inc."
105,"Diversified Adjustment Service, Inc."
105,Quality Loan Service Corporation
104,Collection Bureau of America Ltd.
104,First Advantage Corporation
104,"Optimum Outcomes, Inc."
104,"R.M. Galicia, Inc."
104,Third Federal Savings & Loan
103,"Asset Recovery Solutions, LLC"
103,First Credit Services Inc.
103,Windham Professionals
101,Nelnet
100,Army and Air Force Exchange Service
100,Caine & Weiner Co. Inc.
100,"Capital Accounts, LLC"
100,"Ray Klein, Inc."
100,Stearns Lending
100,Turning Point Solutions LLC
99,Higher Education Student Assistance Authority (HESAA)
96,Regional Management Corp.
95,Global Recovery Group
94,"Northstar Location Services, LLC"
94,UMB Bank
93,"Account Control Technology, Inc."
93,"Asta Funding, Inc"
93,Innovis
93,"Prestige Financial Services, Inc."
92,Premier Recovery Group
92,"Vital Solutions, Inc."
90,"ATG Credit, LLC"
90,Financial Business and Consumer Solutions.
89,Rash Curtis and Associates
88,"EZCORP, Inc."
87,BlueChip Financial
87,"Byrider Franchising, LLC"
87,"Credit Bureau Collection Services, Inc."
87,"Eastern Account Systems of Connecticut, Inc."
87,"VW Credit, Inc"
86,"GVA Holdings, LLC"
85,"State Collection Service, Inc."
84,"Asset Management Outsourcing, Inc."
84,Franklin Credit Management
84,Guild Mortgage
84,Oracle Financial Group LLC.
83,Franklin American Mortgage Company
81,"Ability Recovery Services, LLC"
81,Cottonwood Financial Ltd.
81,"Linebarger Goggan Blair & Sampson, LLP"
81,"Monterey Financial Services, Inc."
80,"Allied Collection Services, Inc. (Nevada)"
80,Credit Card Receivables Fund Incorporated
79,Atlanticus Services Corporation
79,"Professional Finance Company, Inc."
78,"The Regional Adjustment Bureau, Incorporated"
77,"AMCOL Systems, Inc."
77,"Client Services, Inc."
77,"Credit Systems International, Inc."
77,"Delray Capital, LLC"
76,"LTD Financial Services, L.P."
76,"McCarthy, Burgess & Wolff, Inc."
76,"Monarch Recovery Holdings, Inc."
76,"Sun West Mortgage Company, Inc."
75,Banco Popular de Puerto Rico
75,IBERIABANK
74,Hillcrest Davidson & Assoc
74,"NCB Management Services, Inc."
73,"AR Resources, Inc."
73,"Accounts Receivable Management, Inc."
73,AmeriCollect
73,Gryphon Corp
72,"California Business Bureau, Inc."
72,MOHELA
72,Mercedes-Benz Financial Services
71,American Advisors Group
71,Blackhawk Network Holdings Inc.
71,"GLA Collection Company, Inc."
70,"Credit Karma, Inc."
69,Washington Federal
68,Forster & Garbus LLP
68,"Phillips & Cohen Associates, Ltd."
68,"Planet Home Lending, LLC"
68,Umpqua Holdings Corporation
67,"American Collections Enterprise, Inc."
67,"Arnold Scott Harris, P.C."
67,Concord Resolution Inc (Closed)
67,Mortgage Investors Corporation
67,R & B Corporation of Virginia
66,American Coradius International LLC
66,"Credence Resource Management, LLC"
66,"Credit Central Holdings, LLC"
66,Senex Services Corp.
65,First Federal Credit Control
65,Medical Business Bureau
65,Southern Management Corp
64,Collection Consultants of California
64,"Contract Callers, Inc."
64,FCI Lender Services Inc.
64,"Jim Bottin Enterprises, Inc"
63,Access Group
63,Embrace Home Loans Inc
63,"Nationwide Biweekly Administration, Inc"
63,"Pacific Union Financial, LLC"
63,"Selip & Stylianou, LLP"
62,BancorpSouth Bank
62,"Delta Management Associates, Inc."
62,Second Round Limited Partnership
61,"Account Discovery Systems, LLC"
61,Alpha Recovery Corp
61,"Escallate, LLC"
61,Gatestone & Co. International Inc.
61,Prospect Mortgage
61,Rent Recovery Solutions
61,"Strategic Alliances, Inc."
61,The Receivable Management Services Corporation
60,"Leading Edge Recovery Solutions, LLC"
60,Southern Management Systems Inc.
60,"Stoneleigh Recovery Associates, LLC"
59,"Adler Wallach & Associates, Inc."
59,Charles Schwab Bank
59,"Choice Recovery, Inc."
59,"D&A Services, LLC"
59,"Dyck-O'Neal, Inc."
58,Ceannate
58,"Fidelity National Financial, Inc"
58,Great Lakes
58,Nations Recovery Center
58,Patenaude & Felix APC
57,"ARS National Services, Inc."
57,"Admin Recovery, LLC"
57,"Cash America International, Inc."
57,"Clear Debt Solutions, LLC"
57,"Financial Asset Management Systems, Inc."
57,"United Shore Financial Services, LLC"
55,"Atlantic Credit & Finance, Inc."
55,Professional Recovery Management
55,World Omni Financial Corp.
54,"American Credit Acceptance, LLC"
54,"PrimeLending, A PlainsCapital Company"
54,"Stephens and Michaels Associates, Inc."
54,Stonegate Mortgage Corporation
54,"United Recovery Group, LLC"
53,"Accelerated Financial Solutions, LLC"
53,East West Bank
53,"Unique Management Services, Inc"
52,"Gold Key Credit, Inc."
52,"Pinnacle Recovery, Inc."
52,Rabobank
52,"ResidentCollect, Inc."
52,"The Bureaus, Inc."
52,"Wheels Financial Group, LLC"
51,"Blatt, Hasenmiller, Leibsker & Moore, LLC"
51,First American Financial Corporation
51,Generation Mortgage
51,Investors Bank
51,James B. Nutter & Company
51,"Jon Barry and Associates, Inc."
51,Messerli & Kramer P.A.
51,Vision Financial Corp.
50,Loan To Learn
50,"RentDebt Automated Collections, LLC"
49,Guaranteed Rate
49,"Gulf Coast Collection Bureau, Inc."
49,SN SERVICING CORPORATION
49,State Employee's Credit Union
49,Tate and Kirlin Assoc
49,TekCollect Inc.
49,"Virtuoso Sourcing Group, LLC."
48,"Early Warning Services, LLC"
48,FMS Inc.
48,Heartland Payment Systems
48,"Machol & Johannes, LLC"
48,"Select Management Resources, LLC"
48,"Worldwide Processing Group, LLC"
47,"American Financial Resources, Inc."
47,Avant Credit Corporation
47,Bank of Hawaii
47,"Conn's, Inc."
47,Nationwide Advantage Mortgage Company
46,"CarMax, Inc."
46,First Hawaiian Bank
46,FirstBank
46,"Media Collections, Inc"
46,Revenue Assistance Corporation dba Revenue Group
46,"Solomon and Solomon, P.C."
45,AALM Consulting Services LTD (International company)
45,Avante
45,Central Portfolio Control Inc.
45,"Coast Professional, Inc."
45,"Dominion Law Associates, P.L.L.C."
45,"Duvera Billing Services, LLC"
45,"Fidelity Capital Holdings, Inc."
45,"Financial Recovery Services, Inc."
45,"North American Asset Services, LLC"
45,"RS Clark and Associates, Inc."
45,The Law Offices of Mitchell D. Bluhm & Associates
44,High Point Asset Inc
44,Integrated Recovery Services
44,"Lendmark Financial Services, LLC"
44,"Meridian Financial Services, Inc."
43,Alliant Capital Management LLC
43,Bonneville Billing and Collections
43,Hatfield Portfolio Group LLC.
43,Lobel Financial Corporation
43,"Meade & Associates, Inc."
42,Global Client Solutions
42,Lender Live
42,"National Principal Group, LLC"
42,Nationwide Financial Group
42,Plaza Home Mortgage
41,DFC Global Corp
41,Financial Credit Network Inc
41,LHR Inc.
41,"Mariner Finance, LLC"
41,"P&B Capital Group, LLC"
41,Primary Financial Services L.L.C.
41,"Rubin & Rothman, LLC"
41,"Rubin & Yates, LLC"
41,"Security Credit Services, LLC"
41,"Valarity, LLC"
40,"Bull City Financial Solutions, Inc"
40,"Harley-Davidson Financial Services, Inc."
40,"Lustig, Glaser & Wilson, P.C."
40,"Malcolm S. Gerald and Associates, Inc."
40,"Rent Recover, LLC"
39,"American Internet Mortgage, Inc"
39,"Designed Receivable Solultions, Inc."
39,"Emerald Canyon Capital, LLC"
39,FirstPoint Collection Resources
39,"J.S Resolution Group, Inc."
39,Marauder Corporation
39,Merchants Credit Corporation
39,"Pinnacle Asset Management, LLC"
39,"QC Holdings, Inc."
39,"Reliant Capital Solutions, LLC"
38,Collection Management Company
38,Credit Corp Solutions Inc.
38,Deutsche Bank
38,"First Investors Financial Services Group, Inc."
38,"Frontline Asset Strategies, LLC"
38,Google Inc.
38,Iowa Student Loan
38,"Rausch, Sturm, Israel, Enerson & Hornik, LLC"
38,Suburban Credit Corporation
38,Universal Fidelity LP
37,"B.C. Services, Inc."
37,Boeing Employees' Credit Union
37,DataMax Corporation
37,FINEX Group LLC
37,HIGHLAND FINANCIAL SERVICES (Closed)
37,"PMAB, LLC"
37,Tormey Bewley Corporation
37,United Student Aid (USA) Funds
37,"Webcollex, LLC"
36,Accurate Financial Partners
36,"BAM Financial, LLC"
36,"Blitt and Gaines, P.C."
36,"Collection Information Bureau, Inc."
36,"Community Health Investment Company, LLC."
36,"Eltman Law, P.C."
36,Gurstel Chargo PA
36,Pulte Mortgage
36,"Red Cedar Services, Inc"
36,United PanAm Financial Corp.
35,Atlantic Recovery Solutions LLC
35,Clark County Collection Service
35,DTA GROUP LLC
35,"Fein, Such, Kahn & Shepard, P.C."
35,"Glass Mountain Capital, LLC"
35,"HireRight Solutions, Inc."
35,Hunt & Henriques
35,Johnson Mark LLC
35,"LDF Holdings, LLC"
35,"N.A.R., Inc."
35,"Praxis Financial Solutions, Incorporated"
35,Student Loan Finance Corporation
35,"U.S. Collections West, Inc."
35,UBS Bank
35,"USCB, INC."
34,"Aldous & Associates, PLLC"
34,"Array Services Group, Inc."
34,"Ascension Point Recovery Services, LLC"
34,"Brown and Joseph, Ltd"
34,CMG Financial
34,"Collection Bureau of the Hudson Valley, Inc."
34,First Marblehead Education Resources
34,First Mortgage Corporation
34,"Medical Society Business Services, Inc."
34,Mutual Financial Partners
34,NVR Inc
34,North American Credit Services
34,"Professional Medical Management, Inc."
34,"SCA Collections, Inc."
34,Sun Loan Company
34,"The Thomas Agency, Inc."
34,United Consumers Inc
33,American Student Assistance
33,BYL Collection Services
33,"Brock & Scott, PLLC"
33,"Eastpoint Recovery Group, Inc"
33,"Homebridge Financial Services, Inc."
33,KelKris Associates Inc
33,"Law Office of Michael J. Scott, PC"
33,"McKellar & Associates Group, Inc."
33,New American Funding
33,Niagara Portfolio Solutions LLC
33,"Optio Solutions, LLC"
33,"SFS, Inc"
33,"SKO Brenner American, Inc."
33,Source Receivables Management LLC
33,"The Affiliated Group, Inc"
33,The Northern Trust Company
33,"Total Card, Inc."
33,"World Recovery Service, LLC"
32,1st Franklin Financial Corporation
32,"Bogman, Inc"
32,Collection Technology Incorporated
32,Factual Data
32,Frost-Arnett Company
32,"Javitch, Block & Rathbone LLC"
32,"Kimball, Tirey & St. John LLP"
32,Kohn Law Firm S.C.
32,"Love, Beal & Nixon, P.C."
32,"Proficio Mortgage Ventures, LLC"
32,Suttell & Hammer P.S.
32,"Thunderbird Collection Specialists, Inc."
32,United Revenue Corporation
31,"A.R.M. Solutions, Inc."
31,"Colony Brands, Inc."
31,"Consolidated Management Group, LLC"
31,Finance of America Mortgage LLC
31,Financial Corporation of America
31,"Glasser and Glasser, PLC"
31,"GreenSky Trade Credit, LLC"
31,"Herbert P. Sears Co., Inc."
31,Hollis Cobb Associates
31,"Io, Inc."
31,Kondaur Capital Corporation
31,"Liberty Holdings, LLC"
31,MEFA
31,"National Recovery Solutions, LLC"
31,"Sentry Credit, Inc."
31,"The Best Service Co.,Inc"
31,The Law Office of Daniel Slane
31,"West Bay Acquisitions, LLC"
30,"Alliance Asset Management, Inc (Closed)"
30,"Bliksum, LLC"
30,"CIR, Law Offices"
30,Concord Servicing Corporation
30,LJ Ross Associates
30,"Lazarus Financial Group, Inc."
30,"P.S.C., Inc"
30,"Receivable Recovery Services, LLC"
30,Tidewater Finance Company
30,"United Debt Holdings, LLC"
30,"Valentine and Kebartas, Inc."
29,ADR ARBITRATION SERVICES (Closed)
29,"Asset Management Professionals, LLC"
29,"Avadyne Health Holdings, Inc"
29,BOC LLC
29,"Cawley & Bergmann, LLP"
29,D. SCOTT CARRUTHERS
29,Fulton Friedman & Gullace LLP
29,"Med-1 Solutions, LLC"
29,"PLS GROUP, INC"
29,"Recovery One, LLC"
29,Renton Collections Inc.
29,"Sentry Recovery and Collections, Inc."
29,"Sterling Infosystems, Inc."
29,Streamline Recovery Inc
29,The Phoenix Recovery Group
29,Trustmark Corporation
29,United Guaranty
29,"Wilber and Associates, P.C."
28,4 Star Resolution LLC (Closed)
28,"Cardinal Financial Company, LP"
28,"FMA Alliance, Ltd."
28,Finance of America Reverse LLC
28,Holloway Credit Solutions
28,"Kramer & Frank, P.C."
28,"Mandarich Law Group, LLP"
28,MiraMed Revenue Group LLC
28,"New Day Financial, LLC"
28,Northway Broker Ltd.
28,Oliphant Financial Corporation
28,Quantum Servicing Company
28,Reliance Exchange Group
28,"Universal American Mortgage Company, LLC"
27,"Allgate Financial, LLC"
27,Clarity Services
27,"Coast to Coast Financial Solutions, Inc."
27,"Equidata, Inc."
27,"Financial Filing & Reporting, Inc."
27,First Republic Bank
27,GE Capital Bank
27,"Healthcare Financial Services, LLC"
27,Immediate Credit Recovery
27,"International Computer Systems, Inc."
27,"New Century Financial Services, Inc."
27,"Paramount Recovery Systems, L.P."
27,"Sherloq Group, Inc"
27,State Home Mortgage
27,Zarvad III S.A.
26,Academy Mortgage
26,Allied International Credit Corporation
26,CAC Financial Corp
26,Consumer Adjustment Company Incorporated
26,Consumer Collection Management. Inc
26,"First Heritage Credit, LLC"
26,"Gateway Mortgage Group, LLC"
26,"Investment Retrievers, Inc."
26,Kirkland Asset Management LLC
26,"Kirschenbaum, Phillips & Levy, P.C."
26,Lending Solutions Mortgage/ LSI Mortgage
26,Phoenix Financial Services LLC
26,"Prosperity Bancshares, Inc"
26,Prudent Law Group
26,Quality Asset Recovery LLC
26,"Southwest Recovery Services, Inc."
26,"Veldos, LLC"
26,Webster Account Solutions LLC
25,"Aspen National Financial, Inc."
25,"BCA Financial Services, Inc."
25,"Ballybunion Enterprises, Inc"
25,"Carter-Young, Inc."
25,Coastal States Mortgage
25,Everest Receivable Services Inc.
25,"Express Recovery Services, Inc."
25,"First Financial Services, Inc."
25,FirstBank of Puerto Rico
25,Frost Bank
25,"Galaxy Capital Acquisitions, LLC"
25,"Green Trust Cash, LLC"
25,"Legal Prevention Services, LLC."
25,"Legal Recovery Law Offices, Inc"
25,"Maury Cobb, Attorney at Law, LLC"
25,"Mel S. Harris and Associates, LLC"
25,Nationwide Arbitration Services LLC
25,"Overton, Russell, Doerr and Donovan, LLP"
25,"Professional Bureau of Collections of Maryland, Inc."
25,"RFNA, LP"
25,"RGS Financial, Inc."
25,"Regional Acquisition Group, Inc."
25,Regional Credit Solutions
25,"Russell W Richardson, Attorney at Law"
25,"SRA Associates, Inc."
25,"Seattle Service Bureau, Inc"
25,Servatus Corporation
25,Unified Global Group
24,"Arcadia Holdings, LLC"
24,"Cedars Business Services, LLC"
24,Critical Resolution Mediation LLC
24,"General Service Bureau, Inc."
24,"Impac Mortgage Holdings, Inc."
24,"Law Offices Howard Lee Schiff, P.C."
24,M.A.R.S. Inc.
24,"National Commercial Services, Inc"
24,"Professional Adjustment Corp. of S.W. FL., Inc."
24,"RMB, Inc."
24,"RevSolve, Inc."
24,"Stallings Financial Group, Inc."
24,"Vengroff Williams, Inc"
24,Weichert Financial Services
24,Western-Shamrock Corporation
24,Xoom
23,"American Profit Recovery, Inc"
23,Brinkman Alliance Group
23,"Business Revenue Systems, Inc."
23,DHI Mortgage
23,Global Trust Management LLC
23,Home Loan Center Inc f/k/a LendingTree
23,"Law Offices of Robert J. Colclough, III"
23,Nationwide Credit Corporation
23,Primary Residential Mortgage
23,"RSI Enterprises, Inc."
23,Ria Financial
23,Round Two Recovery
23,"Synerprise Consulting Services, Inc."
23,VHDA
22,Action Collection Service
22,"American Adjustment Bureau, Inc"
22,"Cascade Capital, LLC"
22,City National Bank
22,"Duncan Solutions, lnc."
22,"Evergreen Professional Recoveries, Inc."
22,FC HoldCo LLC
22,Financial Management Solutions
22,Global United Arbitration LLC
22,Goldman Sachs Bank USA
22,"Independent Recovery Resources, Inc."
22,"Kansas Counselors of Kansas City, Inc."
22,"Lamont, Hanley & Associates, Inc."
22,"MFP, inc."
22,"Merchants and Medical Credit Corporation, Inc."
22,NCSPLUS INCORPORATED
22,"Neighborhood Assistance Corporation of America (""NACA"")"
22,Northeast Collection Bureau
22,Prince Parker & Associates
22,"RMS-Recovery Management Services, Inc."
22,"Receivables Management Group, Inc. (MN)"
22,"Social Finance, Inc."
22,"Stanislaus Credit Control Service, Inc."
22,The Minacs Group (USA) Inc.
22,"Thomas, King & Associates"
22,Zenith Financial Network Inc
21,ALCHRO INC.
21,"APEX Asset Management, LLC"
21,"Associated Credit Services, Inc."
21,Cade Investments LLC
21,"Cherry Creek Strategic Advisors, LLC"
21,Couch Conville & Blitt LLC
21,"Credit Bureau of Lancaster County, Inc."
21,"Daniels Norelli Scully & Cecere, P.C."
21,"Eisenburg,Whitman and Associates"
21,"Fenton & McGarvey Law Firm, P.S.C."
21,Grant Mercantile Agency
21,"JNR Adjustment Company, Inc"
21,"Liberty Home Equity Solutions, Inc"
21,"MST Financial Services, L.L.C."
21,Patient Accounting Service Center
21,"Professional Credit Management, Inc"
21,"Protocol Recovery Service, Inc."
21,"Scott Lowery Law Office, P.C."
21,Stillman Law Office
21,The TRAF Group
21,"Torres Credit Services, Inc."
21,"Walter Lee & Associates, LLC"
21,WestStar Mortgage Inc.
20,"Alliance Collection Agencies, Inc."
20,"AmerAssist A/R Solutions, Inc."
20,"Blakely-Witt and Associates, Inc."
20,"Credit Bureau Central, Inc (NV)"
20,"Credit Management Control, Inc."
20,First National Bank of Pennsylvania
20,"Focused Recovery Solutions, Inc."
20,Greystone Alliance LLC
20,"JP Recovery Services, Inc."
20,"Law Office of Joe Pezzuto, LLC"
20,"McCullough Payne & Haan, LLC"
20,"Merchants and Professional Bureau, Inc."
20,"Municipal Collections of America, Inc."
20,National Business Factors
20,"Nationwide Debt Management Solutions, LLC"
20,PMAC Mortgage Services
20,"Phillips, Reinhard & Associates"
20,"Razor Capital, LLC"
20,Receivable Asset Management
20,Rhode Island Student Loan Authority
20,Security National Mortgage
20,South Carolina Student Loan
20,Synergetic Communication Inc
20,Texas Higher Education Coordinating Board
20,Velocity Portfolio Group
19,"Advanced Collection Bureau, Inc."
19,Aurora Financial Group Inc.
19,"CCB Credit Serivces, Inc"
19,"Cash Express, LLC"
19,"Citi Management Group, LLC"
19,Diversified Acceptance Corporation
19,"Financial Asset Resolution, LLC"
19,"First Step Group, LLC"
19,"Global Payments Check Services, Inc."
19,"Key 2 Recovery, Inc."
19,Land/Home Financial Services
19,"Lyons, Doughty & Veldhuis, P.C."
19,Miller Davis & Peoples
19,"Nicholas Financial, Inc."
19,"Quick Click Loans, LLC"
19,"Recovery Partners, LLC"
19,"Remex, Inc."
19,Sarma
19,Supreme Lending
19,"Tri-State Adjustments, Inc."
19,"Trojan Professional Services, Inc."
18,"Account Services Collections, Inc"
18,"Charlottesville Bureau of Credits, Inc"
18,"Coastal Credit, LLC"
18,Columbia Recovery Group LLC
18,Cornerstone Home Lending Inc.
18,"Credico, Inc."
18,Creditors Collection Service
18,"DLC, LLC"
18,"Dynamic Recovery Services, Inc."
18,"GMA Investments, LLC"
18,"J.A. Cambece Law Office, P.C."
18,Lazega & Johanson LLC
18,"MIB Group, Inc."
18,Medical-Dental-Hospital Bureau of San Antonio
18,"Michael Harrison, Attorney at Law"
18,Movement Mortgage
18,"Omega RMS, LLC"
18,One Reverse Mortgage
18,Pacific Financial Group (Closed)
18,Partners for Payment Relief
18,Physicians & Dentists Credit Bureau
18,"PlusFour, Inc"
18,"ROC Asset Solutions, LLC"
18,"Richard J. Boudreau & Associates, LLC"
18,Scherr & McClure
18,Searay Portfolio Management
18,Sierra Pacific Mortgage
18,Universal Acceptance Corporation
17,"Accelerated Receivables Management, Inc."
17,Account Management Resources
17,"BWW Law Group, LLC"
17,"CORNERSTONE RESOLUTION GROUP, INC."
17,"Commercial Trade, Inc."
17,"Computer Credit, Inc."
17,Deca Financial Services LLC
17,Element Global Services
17,Federated Capital Corporation
17,"Global Asset Management Group, Inc."
17,"Gragil Associates, Inc."
17,Greene & Cooper Collections LLC
17,Guglielmo and Associates
17,"Hayt Hayt & Landau, P.L. (FL)"
17,Helvey & Associates
17,"John C. Heath, Attorney at Law, PLLC"
17,"McCalla Raymer, LLC"
17,"Merchants Credit Adjusters, Inc."
17,Merchants' Credit Guide Company
17,"Mid Continent Credit Services, Inc"
17,"Mountain Land Collections, Inc."
17,NELSON AND KENNARD
17,National Arbitration Forum
17,National Check Resolution Inc.
17,Network Capital Funding Corporation
17,"Phelan Hallinan & Diamond, PC"
17,Professional Receivables Network
17,"Sa-Vit Enterprises, Inc."
17,"Sessoms & Rogers, P.A."
17,Unlimited Progress Corp
17,W.J. Bradley Mortgage
17,WLCC
17,"Weber & Olcese, PLC"
16,Account Brokers Inc.
16,Account Resolution Corporation
16,Allied Financial Group & Associates (Closed)
16,American Accounts & Advisers Inc.
16,"Apelles, LLC"
16,"Apple Financial Holdings, Inc"
16,"Automated Collection Services, Inc."
16,"Certified Recovery Systems, Inc."
16,"Columbia Collection Service, Inc."
16,Convergys
16,"Credit Bureau Systems, Inc."
16,"Crown Asset Management, LLC"
16,Deval LLC
16,Essential Retrieval Group
16,"Law Offices of Zakheim & LaVrar, P.A."
16,"MacDowell & Associates, Ltd."
16,"Mid-Atlantic Finance Co., Inc."
16,Mullooly Jeffrey Rooney & Flynn
16,"National Recoveries, Inc."
16,"Nevada Credico, Inc."
